NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062069514,2024,6,M,1,3,1,1,4,,0,2102903,Carutapera,21,MA,C,F,D,D,4,A,G,A,C,B,A,B,B,A,B,A,A,A,A,B,B,E,A
210062069515,2024,7,M,1,1,1,1,5,,0,3504008,Assis,35,SP,E,E,D,D,3,B,E,A,C,D,B,A,B,A,B,B,B,B,A,B,D,D,A
210062069516,2024,9,M,1,1,1,1,5,,0,3170206,Uberlândia,31,MG,B,C,A,A,3,B,H,A,B,C,A,A,B,A,B,A,A,A,A,B,C,D,A
210062069517,2024,17,F,1,2,1,1,18,,0,3302858,Mesquita,33,RJ,B,B,C,B,1,A,A,A,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A
210062069518,2024,8,F,1,1,1,1,5,,0,2305803,Ipu,23,CE,E,E,B,C,2,A,B,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A
210062069519,2024,6,F,1,1,1,2,0,1.0,0,4318705,São Leopoldo,43,RS,H,D,F,B,3,A,C,A,B,C,A,B,B,A,B,B,A,B,A,A,B,C,A
210062069520,2024,6,F,2,1,1,1,2,,0,5208707,Goiânia,52,GO,C,G,B,B,2,A,C,A,B,B,A,B,B,A,B,B,A,B,A,B,B,B,B
210062069521,2024,6,F,1,2,1,1,3,,0,4317509,Santo Ângelo,43,RS,B,B,C,B,4,B,C,A,B,D,B,A,B,A,B,B,A,B,A,B,B,D,A
210062069522,2024,11,F,1,1,1,1,12,,0,5208707,Goiânia,52,GO,E,D,C,C,4,B,K,A,C,D,C,A,B,A,B,B,B,D,A,B,C,E,A
210062069523,2024,16,F,3,2,1,1,0,,0,3304557,Rio de Janeiro,33,RJ,B,E,C,D,2,B,F,A,B,B,A,A,B,A,B,B,B,B,A,B,B,C,A
210062069524,2024,13,F,1,2,1,1,10,,0,2112209,Timon,21,MA,B,A,A,B,3,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A
210062069525,2024,11,M,0,1,1,1,12,,0,4318002,São Borja,43,RS,B,E,A,A,2,B,C,A,B,C,B,A,B,A,B,B,B,C,A,B,C,C,A
210062069526,2024,13,F,1,1,1,1,18,,0,2304400,Fortaleza,23,CE,G,E,F,B,3,B,B,A,C,C,B,B,B,A,B,A,A,C,A,B,B,D,C
210062069527,2024,11,M,1,3,1,1,10,,0,2933307,Vitória da Conquista,29,BA,B,D,A,B,4,B,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062069528,2024,15,M,1,3,1,1,0,,0,3550308,São Paulo,35,SP,B,D,C,B,1,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,B,F
210062069529,2024,12,M,1,3,4,1,0,,0,2927408,Salvador,29,BA,E,E,C,C,4,A,E,A,C,D,B,A,B,A,B,B,A,D,B,B,D,E,A
210062069530,2024,2,F,1,1,1,2,0,1.0,0,3137601,Lagoa Santa,31,MG,F,F,D,D,5,B,O,A,D,D,B,C,B,A,A,B,B,C,B,B,E,E,A
210062069531,2024,2,M,1,3,1,3,0,,1,1100023,Ariquemes,11,RO,E,E,A,A,4,A,B,A,B,B,B,B,B,B,B,A,A,B,A,B,A,B,A
210062069532,2024,13,M,1,3,1,1,0,,0,3304557,Rio de Janeiro,33,RJ,H,B,B,B,1,B,F,A,B,B,A,A,B,B,B,A,A,B,A,B,B,B,D
210062069533,2024,12,M,1,1,1,1,11,,0,4304606,Canoas,43,RS,C,C,F,B,2,A,B,A,B,C,B,B,B,A,B,B,B,C,A,B,B,C,A
210062069534,2024,15,M,2,3,1,1,18,,0,2304400,Fortaleza,23,CE,B,B,A,A,4,B,C,A,C,C,A,A,B,A,B,B,B,B,A,B,B,B,A
210062069535,2024,12,F,1,2,1,1,13,,0,2302503,Brejo Santo,23,CE,C,C,B,B,3,A,C,A,C,C,B,B,B,A,A,A,A,B,A,B,A,C,A
210062069536,2024,2,M,1,1,1,2,0,1.0,0,4119152,Pinhais,41,PR,E,F,C,D,3,A,H,A,C,C,B,C,B,A,B,B,B,D,B,B,B,D,A
210062069537,2024,4,F,1,3,2,1,1,,0,4202008,Balneário Camboriú,42,SC,F,F,B,F,3,A,C,A,C,C,B,A,B,A,B,B,A,B,A,B,B,D,D
210062069538,2024,4,M,1,3,1,1,2,,0,2516201,Sousa,25,PB,E,G,B,D,4,B,K,A,C,C,A,C,B,A,B,A,A,B,A,B,B,E,D
210062069539,2024,7,M,1,1,1,1,5,,0,1501402,Belém,15,PA,F,G,E,E,6,B,B,A,C,C,A,A,B,A,B,B,A,B,A,B,B,E,D
210062069540,2024,2,M,1,3,1,3,0,,1,3122306,Divinópolis,31,MG,E,E,C,C,4,A,C,A,B,C,B,A,B,A,B,A,A,B,A,B,B,E,A
