NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
2087653,2024,,,,,,,,,3205309,Vitória,32,ES,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
2065927,2024,,,,,,,,,4301602,Bagé,43,RS,1,1,1,1,1419.0,1385.0,1398.0,1407.0,555.1,617.6,563.2,653.7,BAEDDCADDDBCDEADEABBABEEDCECBADCACEADEBBDDCDE,CAEDADDBEADDEDAEBBEABCCADCADEBDCBACECEBBCCBAD,ABAACCDBBAEECEDDCAEDDDEEBCBEADEBDCDDAEDDDDECB,CEBABCDCDDDBECDDADCBECECBBBDBCEBAADEDEECBDCAB,0,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,160.0,200.0,180.0,160.0,180.0,880.0
1937116,2024,25100459.0,2503001.0,Caaporã,25.0,PB,2.0,1.0,1.0,2503001,Caaporã,25,PB,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
1338145,2024,,,,,,,,,3106200,Belo Horizonte,31,MG,1,1,1,1,1420.0,1383.0,1395.0,1408.0,473.6,501.9,556.0,573.0,BDABEEBBECDBDBADBABDCACCBDDCECBECDABCAAEBCDCA,AEABBAACABCADEDBAAEECAACCCACAEDAEBADAEAEEABCA,CAAAECCBECDDDEBDECACCDDCCBADDEACDABAACADADAEB,BCCDBCEBCBBADCDCBACEBCECCCBBCBACBABBBEDDEDCAD,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1.0,120.0,100.0,100.0,120.0,60.0,500.0
3898713,2024,,,,,,,,,4314407,Pelotas,43,RS,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
4165745,2024,43119956.0,4316808.0,Santa Cruz do Sul,43.0,RS,2.0,1.0,1.0,4316808,Santa Cruz do Sul,43,RS,1,1,1,1,1419.0,1385.0,1398.0,1407.0,418.0,578.7,544.5,518.4,CABDEBCBACECBCADEEADCBBCEAABCABCBAEAEBCEADBEA,CABAECDBEADCCDADBAEABCAACAADEBBBEAAACBCBCDDAD,CAAACBDBAEEECCBAADCDADEEBBBAEAABDCBDAEBCDAACB,DADEBCBAEAEDBBCAEACEBBEDABCBDCEDDACBDEDABDECA,0,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,160.0,140.0,140.0,140.0,100.0,680.0
2222512,2024,41163656.0,4104907.0,Castro,41.0,PR,4.0,1.0,1.0,4104907,Castro,41,PR,1,1,1,1,1421.0,1386.0,1397.0,1409.0,577.6,635.5,613.0,643.1,DDBADEADABCCACBABDBBDCCBBECCDCAAABEECEBECEAEB,ACCAADCDDDAECEDAEBADBEBEDADDBCBEACCADDEABCECB,AACEADBEDADEEBDAEDABDACBBDCCACDDCBDEDDCECCECB,CBBCEAEDBCDBCDAABDCBECBDCCEBBACEDBDCAECBDACBD,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,120.0,200.0,140.0,140.0,140.0,740.0
2877123,2024,33110328.0,3304557.0,Rio de Janeiro,33.0,RJ,4.0,1.0,1.0,3304557,Rio de Janeiro,33,RJ,1,1,1,1,1421.0,1386.0,1397.0,1409.0,549.9,591.1,595.3,666.9,DBBCBBEBACEEBDBDBDEDAECBDDADEABDECAADAABDECED,ADCAADDECBAECEEAABBDBDBEDDDCECDCAECABDEBDCACB,AACEACBEDADAEBBCBDBBCBCCBDEDAADBCABEDDCDCBECC,CBBEAEDDBADADADADBABDCBBCEEACDBADBDBDECDBDADB,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,160.0,200.0,180.0,180.0,200.0,920.0
3699428,2024,,,,,,,,,2202208,Campo Maior,22,PI,1,1,1,1,1420.0,1383.0,1395.0,1408.0,427.7,403.9,442.9,411.2,DAABCACEBBEEBDACCEBCDAEEBBABDCBBEADBEBDCDBDCA,AACBBEACDCADCBDECACDBCBAEBDADBCACACCEADDABCBE,EAAEEDDBEDECDBCDECACCADBCADACABCDECCADDCAAABA,DEBCDDCCDABCBBBACBBCADAEDBDBDADCDCEAEDDCDADAC,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1.0,140.0,120.0,120.0,140.0,120.0,640.0
2665644,2024,52010287.0,5218003.0,Porangatu,52.0,GO,2.0,1.0,1.0,5218003,Porangatu,52,GO,1,1,1,1,1421.0,1386.0,1397.0,1409.0,447.8,408.3,496.6,495.4,DCAACEACCCACAADEACDBACECCEAEAEADEAEBDBCCABAEA,ADDAADBAAADBDEBCCADAEAABCACCACBDABBADBAABEDAA,DADCAEBEAADDAADDBDABDEEBEADDBDAACEDAEDCBEBECA,CDDBDACDB*BBBEADACEADEADBEADDDAEAADECEEDAADEE,1,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,120.0,120.0,100.0,140.0,40.0,520.0
2591650,2024,12009725.0,1200179.0,Capixaba,12.0,AC,2.0,1.0,1.0,1200450,Senador Guiomard,12,AC,1,1,1,1,1421.0,1386.0,1397.0,1409.0,500.5,530.1,536.5,492.7,DBBABBDCCBCAECBABDBBACECDEBEBDBCABDBEDDDDBCED,BBDAADAECBBECCDAEBCACBADBDDBBCDBAEEDEDCCBAECB,AACCDDBEDADADAEADDBBDEECBDEBCBBBBEDEBDCECDECD,CCABDDDBBCAEDEEBBEBAEBAEACDABCEADABEBDCADCCCA,1,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,140.0,120.0,140.0,160.0,140.0,700.0
105347,2024,29123143.0,2931905.0,Tucano,29.0,BA,2.0,2.0,1.0,2931905,Tucano,29,BA,1,1,1,1,1419.0,1385.0,1398.0,1407.0,353.4,432.8,362.5,386.1,DDCACEBDECECBEDBDDBCAABEAEABEABBDEECADDBBAECA,AAEACBDDECAEBEADABDCDABCABEDABEEAECEDBCABDACB,EDBBCAAECDACEBDBCAECABCDEDADBEACAEADBDADBECED,CDBBBDECBAEADBACBEEDCBABDDCBCBEABDAEBEDACDDDE,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2488588,2024,23085592.0,2304103.0,Crateús,23.0,CE,2.0,1.0,1.0,2304103,Crateús,23,CE,1,1,1,1,1420.0,1383.0,1395.0,1408.0,491.0,415.6,537.5,506.2,ECECACBEDBEACDAEACCBACDBADDADBBCECACEEBEBDDCA,AECABBACBCDDACBDADACDACDABDACDAADBCADAADDBDDA,DCDDAECBECEBDCBDECEABBDAEBEEADCCDBCCBEBCADCEA,DECBBADADBEDCCABDBBDADACBBBDCBABDBDDEABDCDDAE,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1.0,140.0,160.0,120.0,160.0,180.0,760.0
3938063,2024,35021696.0,3543907.0,Rio Claro,35.0,SP,2.0,1.0,1.0,3543907,Rio Claro,35,SP,1,1,1,1,1419.0,1385.0,1398.0,1407.0,574.6,416.9,552.2,575.9,BAEBCDCEBCBDCCAAEBEDDDECEBEDBBBADCEABDCDCBEAC,CAECBADBEACDBCDEABBDBEDBDBCCDEABDBDBCDCAEBCBD,EDADCDECBBEECCBBCDEDADEEBCBEEABBDCBDABABDACDB,DBAABECDEACBECCDECDABEDBDCBAEDEAADBEDDCEBADBC,0,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,120.0,120.0,120.0,120.0,140.0,620.0
1541568,2024,29252555.0,2926400.0,Riacho de Santana,29.0,BA,2.0,1.0,1.0,2926400,Riacho de Santana,29,BA,1,1,1,1,1419.0,1385.0,1398.0,1407.0,506.1,494.1,511.7,460.8,EEBDCECCADACCDDBBEDDDADDEAECAECAABEBEEABAAECB,AAEBBBABCCBCDCACEBDADECADEDEBEBCEABEEBAEEAABD,CBEDADDCCDAEABDADECCBDDEADBAACEBCCDDBDEEDCECB,BCEDCCBEEBEDBDAAACCEABEDBEEBBCBBCACDDAEEBCBEE,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,120.0,160.0,140.0,120.0,180.0,720.0
2536355,2024,29277256.0,2925105.0,Poções,29.0,BA,2.0,1.0,1.0,2925105,Poções,29,BA,1,1,1,1,1419.0,1385.0,1398.0,1407.0,510.8,570.6,517.9,390.9,BBBBDBBDDCABBDACEBCDDAACEACBCBBCCEBADABDACDBC,CAADBBDBEAECCCABEEEEAEEABEEBEBDEEABACECECDAAD,AAABABCABCEECACAECECBDAEBEAEEDABCABBDEADDCBDB,DBACCCBEAAEDEBACBCADABBDACBBCEBDEBAAAADAEDAAA,0,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,120.0,120.0,120.0,140.0,140.0,640.0
